               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.106,            0.050034,            0.036706,           0.0069924,             0.79633,            0.022216,           0.0050236,            0.085038,            0.027284,            0.028607,            0.070857,           0.0032381,           0.0032381
                   1,            0.083457,            0.051784,            0.024715,               0.402,             0.23793,             0.11174,            0.047886,            0.075752,            0.036954,            0.019249,            0.040814,           0.0065281,           0.0065281
                   2,            0.077833,            0.047676,            0.019879,             0.38048,             0.27019,             0.10497,             0.04523,            0.085577,            0.026966,            0.015532,            0.010726,            0.009774,            0.009774
                   3,            0.071526,            0.040563,            0.015264,             0.52511,             0.30306,             0.19315,            0.063244,            0.068101,            0.022053,             0.01176,            0.009802,            0.009802,            0.009802
                   4,            0.072213,            0.043117,            0.013299,              0.5185,             0.34664,             0.22417,            0.075643,            0.067604,            0.022919,           0.0075341,            0.009802,            0.009802,            0.009802
                   5,            0.065737,            0.042923,            0.013064,             0.55406,             0.38368,             0.28567,             0.11776,            0.059065,            0.020558,           0.0070811,            0.009736,            0.009736,            0.009736
                   6,            0.062009,            0.040274,            0.010603,             0.56748,             0.36871,             0.27823,             0.11839,            0.054841,            0.022657,           0.0055309,             0.00967,             0.00967,             0.00967
                   7,            0.060764,            0.042124,           0.0097371,              0.6549,             0.35764,             0.35226,             0.17568,            0.055868,            0.019738,           0.0068766,            0.009604,            0.009604,            0.009604
                   8,            0.058319,            0.036771,           0.0098207,             0.66783,             0.34126,             0.33745,             0.13376,            0.051961,            0.019455,           0.0067778,            0.009538,            0.009538,            0.009538
                   9,            0.055858,             0.03543,           0.0091302,             0.70001,             0.37354,              0.3683,             0.14976,            0.050118,            0.019222,           0.0063623,            0.009472,            0.009472,            0.009472
                  10,            0.053736,            0.037158,           0.0090846,             0.74297,             0.40025,             0.42533,              0.2063,            0.047949,            0.019669,           0.0064628,            0.009406,            0.009406,            0.009406
                  11,            0.051997,            0.040402,           0.0091413,             0.73453,             0.40896,             0.43749,              0.2237,            0.045047,            0.019623,           0.0072919,             0.00934,             0.00934,             0.00934
                  12,            0.052338,             0.03552,           0.0079085,             0.74751,             0.43145,              0.4643,             0.25135,            0.045817,            0.018547,           0.0069318,            0.009274,            0.009274,            0.009274
                  13,            0.051351,            0.036546,           0.0081667,             0.77573,             0.39752,             0.45269,             0.23093,            0.047731,            0.018354,           0.0071521,            0.009208,            0.009208,            0.009208
                  14,            0.049248,            0.038181,            0.008093,             0.65403,             0.36426,              0.3394,             0.16924,            0.047826,            0.018624,           0.0073831,            0.009142,            0.009142,            0.009142
                  15,            0.047875,            0.037292,           0.0068543,             0.78706,             0.40609,             0.46729,             0.24411,            0.044776,            0.018971,           0.0052492,            0.009076,            0.009076,            0.009076
                  16,            0.047711,             0.03466,           0.0072355,             0.76925,              0.4479,             0.46374,             0.24749,            0.043649,            0.018991,           0.0048703,             0.00901,             0.00901,             0.00901
