               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10577,            0.046832,            0.036586,           0.0056268,             0.66019,            0.010271,           0.0021938,             0.08982,            0.027769,            0.034258,              0.0847,              0.0017,              0.0017
                   1,            0.087612,            0.049177,            0.028394,             0.10938,             0.19639,            0.067643,            0.016026,            0.077153,            0.026665,            0.025384,            0.068465,           0.0034654,           0.0034654
                   2,            0.076259,            0.049119,            0.021217,             0.43103,             0.28005,             0.12638,             0.04094,            0.066215,            0.039646,            0.018817,            0.052195,           0.0051951,           0.0051951
                   3,            0.071088,            0.045592,            0.016712,             0.55156,             0.26032,             0.18275,            0.054684,            0.067197,            0.027184,            0.014235,            0.035889,           0.0068891,           0.0068891
                   4,            0.072369,            0.048974,            0.014523,             0.60271,             0.28859,             0.26172,                0.11,            0.068254,            0.024406,            0.011406,            0.019548,           0.0085476,           0.0085476
                   5,            0.072103,            0.042512,            0.012548,             0.57697,             0.30552,             0.25003,            0.083713,            0.065032,            0.023117,           0.0081886,            0.009505,            0.009505,            0.009505
                   6,            0.066509,            0.037165,           0.0098526,             0.56027,             0.35303,              0.2784,             0.11052,            0.064577,            0.023504,           0.0070501,            0.009505,            0.009505,            0.009505
                   7,            0.065276,              0.0412,            0.009723,             0.59294,             0.31453,             0.27508,             0.10919,             0.05837,            0.020142,           0.0072339,            0.009406,            0.009406,            0.009406
                   8,            0.060057,            0.034674,           0.0096825,             0.67302,             0.29768,             0.33277,              0.1327,            0.057306,            0.019663,           0.0070174,            0.009307,            0.009307,            0.009307
                   9,            0.059618,            0.034821,           0.0085952,             0.58789,             0.44267,             0.31855,             0.15187,            0.051633,            0.019487,           0.0061496,            0.009208,            0.009208,            0.009208
                  10,            0.054732,            0.038092,           0.0091775,             0.76777,              0.2949,             0.36904,             0.14081,            0.052468,            0.019025,           0.0067002,            0.009109,            0.009109,            0.009109
                  11,            0.053374,            0.037154,           0.0085607,             0.68472,             0.35013,              0.3603,             0.15877,            0.050329,            0.020726,           0.0058075,             0.00901,             0.00901,             0.00901
                  12,            0.052085,            0.036556,           0.0083091,             0.66494,             0.40242,             0.37966,             0.19417,            0.048933,            0.019763,           0.0056753,            0.008911,            0.008911,            0.008911
                  13,            0.050232,            0.036978,           0.0075262,             0.72601,             0.44006,             0.45781,             0.20905,            0.043865,            0.020148,           0.0058316,            0.008812,            0.008812,            0.008812
                  14,            0.048052,            0.032021,           0.0068317,             0.77653,              0.3985,             0.45402,             0.23162,            0.043971,            0.018442,            0.006216,            0.008713,            0.008713,            0.008713
                  15,            0.051288,            0.034828,           0.0065156,             0.78076,             0.43516,             0.46598,             0.24693,             0.04477,            0.019348,           0.0063933,            0.008614,            0.008614,            0.008614
                  16,            0.047456,            0.036262,            0.006445,             0.76518,             0.43685,             0.44853,             0.25025,            0.046544,            0.018918,           0.0071116,            0.008515,            0.008515,            0.008515
                  17,            0.048469,            0.031927,            0.006425,             0.75821,             0.47095,             0.47972,             0.25334,            0.043199,            0.018248,           0.0061497,            0.008416,            0.008416,            0.008416
                  18,            0.046011,            0.032976,           0.0061212,             0.84023,             0.41603,             0.50067,             0.25517,            0.042569,            0.018483,           0.0067885,            0.008317,            0.008317,            0.008317
                  19,            0.045666,            0.031243,           0.0059529,             0.80404,              0.4313,             0.48949,             0.25482,            0.043065,            0.018723,            0.006238,            0.008218,            0.008218,            0.008218
                  20,            0.044471,            0.031283,           0.0063116,             0.82525,             0.40649,             0.48782,             0.24233,             0.04258,             0.01876,           0.0061754,            0.008119,            0.008119,            0.008119
                  21,            0.041527,            0.031096,            0.005133,              0.8141,             0.41971,             0.49359,             0.28797,            0.041087,            0.018148,           0.0058869,             0.00802,             0.00802,             0.00802
                  22,            0.044713,            0.029426,           0.0064266,              0.7978,             0.41375,             0.46862,              0.2525,            0.042916,            0.019088,           0.0096816,            0.007921,            0.007921,            0.007921
                  23,             0.04343,            0.034983,           0.0059103,             0.80877,             0.38745,             0.45614,             0.24963,            0.039987,            0.019492,           0.0062714,            0.007822,            0.007822,            0.007822
                  24,            0.042253,            0.034921,           0.0058309,             0.76989,             0.46271,             0.48779,             0.26558,            0.041225,            0.019168,           0.0079274,            0.007723,            0.007723,            0.007723
                  25,            0.042351,            0.041975,           0.0049055,             0.82455,             0.47608,             0.50533,             0.29587,            0.039307,            0.018461,            0.011454,            0.007624,            0.007624,            0.007624
                  26,            0.043005,            0.038688,           0.0053873,              0.7953,             0.47251,             0.50666,              0.2774,            0.042314,            0.017716,           0.0068428,            0.007525,            0.007525,            0.007525
                  27,            0.040773,            0.031026,            0.005307,             0.78312,             0.47618,             0.49825,             0.28286,            0.041013,            0.018015,           0.0074651,            0.007426,            0.007426,            0.007426
                  28,            0.041636,            0.031797,           0.0059818,              0.7955,              0.4556,             0.47153,             0.26179,            0.043949,            0.018361,           0.0079851,            0.007327,            0.007327,            0.007327
                  29,            0.039261,            0.027761,           0.0061332,              0.7997,             0.46173,             0.49196,             0.29201,            0.040407,            0.018174,           0.0061606,            0.007228,            0.007228,            0.007228
                  30,            0.041038,            0.030681,           0.0059012,             0.78732,             0.48678,             0.50584,             0.28701,            0.039302,            0.017708,           0.0060973,            0.007129,            0.007129,            0.007129
                  31,            0.036908,            0.031346,           0.0051282,             0.85749,              0.4146,             0.50236,             0.29912,            0.039849,            0.018219,           0.0063922,             0.00703,             0.00703,             0.00703
                  32,            0.039574,            0.030651,           0.0052239,             0.80687,             0.46089,             0.51311,             0.28341,            0.041983,            0.017922,           0.0064312,            0.006931,            0.006931,            0.006931
                  33,            0.038737,            0.027993,           0.0046065,             0.80356,             0.44586,             0.51007,             0.29966,            0.040299,            0.018103,           0.0068101,            0.006832,            0.006832,            0.006832
                  34,            0.039574,            0.028028,           0.0081553,             0.82421,             0.46957,             0.51581,             0.31786,            0.037948,            0.017784,           0.0058935,            0.006733,            0.006733,            0.006733
                  35,            0.039004,            0.030413,           0.0068043,             0.88084,              0.4503,             0.52943,             0.32297,            0.036204,            0.017363,           0.0051402,            0.006634,            0.006634,            0.006634
                  36,            0.037749,            0.037649,           0.0050452,             0.86067,             0.45123,             0.52306,             0.31664,            0.037314,            0.017521,           0.0060612,            0.006535,            0.006535,            0.006535
                  37,            0.039369,             0.03085,           0.0046327,             0.85293,             0.46917,             0.56723,             0.35719,            0.037906,            0.017586,           0.0048603,            0.006436,            0.006436,            0.006436
                  38,            0.038381,            0.028859,            0.004675,              0.6379,             0.90601,              0.8641,             0.59128,            0.036729,            0.017039,           0.0042965,            0.006337,            0.006337,            0.006337
                  39,            0.037289,            0.029318,           0.0044934,             0.54165,             0.90093,             0.69697,             0.43567,            0.036719,            0.017234,           0.0039611,            0.006238,            0.006238,            0.006238
                  40,             0.03768,            0.028479,           0.0043865,             0.82593,             0.48723,             0.57176,             0.35156,            0.037548,            0.017053,           0.0039266,            0.006139,            0.006139,            0.006139
                  41,            0.036569,            0.027253,           0.0049018,             0.87063,             0.46473,             0.63236,             0.39646,            0.035991,            0.017228,            0.004352,             0.00604,             0.00604,             0.00604
                  42,              0.0352,            0.027773,           0.0036476,             0.85614,             0.48178,             0.85621,             0.61155,            0.035658,            0.017178,           0.0042464,            0.005941,            0.005941,            0.005941
                  43,            0.037165,            0.030991,           0.0041905,             0.72306,             0.55079,             0.86556,             0.55817,            0.036024,            0.017679,             0.00541,            0.005842,            0.005842,            0.005842
                  44,            0.036932,            0.028401,           0.0049817,             0.84284,             0.45371,             0.53472,             0.33331,            0.036128,            0.017689,           0.0056319,            0.005743,            0.005743,            0.005743
                  45,             0.03558,            0.028139,           0.0037595,             0.86464,             0.44673,             0.52675,             0.32374,            0.036751,            0.017865,           0.0058349,            0.005644,            0.005644,            0.005644
                  46,            0.037195,            0.030113,            0.004316,             0.80098,             0.50425,             0.52699,              0.3174,            0.037092,            0.017847,           0.0060585,            0.005545,            0.005545,            0.005545
                  47,            0.033349,            0.028051,           0.0040989,             0.83861,             0.47594,             0.51803,             0.32616,            0.036546,            0.018436,           0.0076994,            0.005446,            0.005446,            0.005446
                  48,            0.034678,             0.03282,           0.0044893,             0.85544,             0.46009,             0.52119,             0.31683,            0.037474,            0.018302,           0.0089955,            0.005347,            0.005347,            0.005347
                  49,            0.035645,            0.027004,           0.0040594,             0.80267,             0.50004,             0.52384,             0.34666,            0.035599,            0.017622,           0.0078317,            0.005248,            0.005248,            0.005248
                  50,            0.035954,            0.029235,           0.0034024,             0.77828,             0.49326,             0.52293,             0.34372,             0.03495,            0.017857,           0.0062358,            0.005149,            0.005149,            0.005149
                  51,             0.03589,            0.025995,           0.0064141,             0.84602,             0.51608,             0.59887,             0.40826,            0.035245,            0.017643,           0.0050381,             0.00505,             0.00505,             0.00505
                  52,            0.036976,             0.03575,           0.0050059,             0.41672,             0.75932,             0.64735,              0.4271,            0.033491,            0.016913,            0.004752,            0.004951,            0.004951,            0.004951
                  53,            0.033634,             0.02509,            0.003909,              0.3834,             0.71561,             0.64935,             0.43578,            0.033513,            0.016938,            0.004611,            0.004852,            0.004852,            0.004852
                  54,            0.034248,            0.032459,             0.00385,             0.83054,             0.48973,              0.5793,             0.38039,            0.033716,            0.016997,           0.0045856,            0.004753,            0.004753,            0.004753
                  55,            0.034845,            0.030189,           0.0040991,             0.85594,              0.4627,             0.64733,             0.42043,            0.034141,            0.017524,           0.0058565,            0.004654,            0.004654,            0.004654
                  56,             0.03372,            0.028385,           0.0048791,             0.47748,             0.78963,             0.69615,             0.46983,             0.03396,            0.017416,           0.0065238,            0.004555,            0.004555,            0.004555
                  57,            0.033719,            0.027969,            0.003521,             0.53804,             0.86852,             0.69146,             0.45464,            0.034286,            0.017953,           0.0052585,            0.004456,            0.004456,            0.004456
                  58,            0.034181,            0.029102,           0.0038628,             0.52134,             0.81524,             0.70338,             0.48676,            0.034701,            0.017286,           0.0042939,            0.004357,            0.004357,            0.004357
                  59,            0.033007,            0.027149,           0.0038814,             0.55978,             0.85851,             0.68667,             0.48817,            0.034504,            0.017607,           0.0048007,            0.004258,            0.004258,            0.004258
                  60,            0.034007,            0.028103,           0.0034145,             0.58782,             0.80695,             0.68024,             0.48786,            0.035047,            0.018186,           0.0047925,            0.004159,            0.004159,            0.004159
                  61,            0.032322,             0.02911,           0.0034867,             0.53835,             0.85589,             0.68907,             0.47532,             0.03571,            0.017585,           0.0051746,             0.00406,             0.00406,             0.00406
                  62,            0.031995,            0.025079,           0.0038423,             0.54415,             0.85967,             0.69113,             0.47473,            0.033769,            0.017393,           0.0065224,            0.003961,            0.003961,            0.003961
                  63,            0.032587,            0.024463,           0.0035779,             0.57991,             0.87143,             0.69368,             0.47852,            0.033715,            0.017722,           0.0077012,            0.003862,            0.003862,            0.003862
                  64,            0.032189,            0.026855,           0.0036285,             0.57326,             0.86867,             0.67877,             0.46641,            0.034379,             0.01792,           0.0076036,            0.003763,            0.003763,            0.003763
                  65,            0.031809,            0.026078,           0.0031831,             0.54791,             0.87042,              0.6813,             0.44311,            0.034499,            0.018458,           0.0065605,            0.003664,            0.003664,            0.003664
                  66,            0.031222,            0.024607,           0.0027928,              0.6124,             0.84346,             0.69172,             0.46555,            0.034283,             0.01859,           0.0076728,            0.003565,            0.003565,            0.003565
