               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10577,            0.046832,            0.036586,           0.0056268,             0.66019,            0.010271,           0.0021938,             0.08982,            0.027769,            0.034258,              0.0847,              0.0017,              0.0017
                   1,            0.087754,             0.04917,             0.02845,             0.41477,             0.18956,            0.073528,            0.018377,            0.077099,            0.026366,             0.02556,            0.068431,           0.0034307,           0.0034307
                   2,            0.076922,            0.048824,            0.021095,             0.41562,             0.33875,              0.1258,            0.041039,            0.068242,            0.042646,            0.018837,             0.05209,           0.0050901,           0.0050901
                   3,            0.071247,            0.045602,            0.016391,             0.50671,             0.25768,             0.31882,            0.094358,            0.069264,            0.029331,            0.012239,            0.035678,           0.0066783,           0.0066783
                   4,            0.069381,            0.049281,            0.014107,             0.48947,             0.26296,             0.26563,             0.10978,            0.068798,            0.028941,            0.010268,            0.019195,           0.0081951,           0.0081951
                   5,            0.072146,            0.042277,            0.012205,             0.58416,              0.3003,             0.27342,             0.11267,            0.066637,             0.02396,           0.0077391,             0.00901,             0.00901,             0.00901
                   6,            0.067656,            0.036526,           0.0095647,             0.58797,             0.30523,             0.25391,            0.099481,            0.063241,            0.022255,           0.0084512,             0.00901,             0.00901,             0.00901
                   7,            0.064802,            0.042395,           0.0097326,             0.60935,             0.35619,             0.27983,             0.10846,             0.05769,            0.021286,            0.007656,            0.008812,            0.008812,            0.008812
                   8,            0.058018,            0.035529,           0.0098561,             0.59511,             0.33095,             0.26904,             0.11218,             0.05679,            0.020296,           0.0075295,            0.008614,            0.008614,            0.008614
                   9,            0.058614,             0.03485,           0.0083213,             0.64655,             0.35478,             0.32446,             0.14997,            0.049235,            0.019697,           0.0074883,            0.008416,            0.008416,            0.008416
                  10,            0.054334,            0.037916,           0.0092503,             0.75545,             0.38514,             0.41489,             0.19827,            0.051088,             0.01881,           0.0082388,            0.008218,            0.008218,            0.008218
