               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10577,            0.046832,            0.036586,           0.0056268,             0.66019,            0.010271,           0.0021938,             0.08982,            0.027769,            0.034258,              0.0847,              0.0017,              0.0017
                   1,            0.087641,            0.049149,            0.028394,             0.42733,             0.19363,             0.07646,            0.019592,            0.076737,            0.026318,            0.025362,            0.068477,           0.0034769,           0.0034769
                   2,            0.077113,            0.048749,             0.02098,             0.44718,             0.29241,             0.14803,            0.046836,            0.068205,            0.040687,            0.018441,             0.05223,             0.00523,             0.00523
                   3,            0.072023,            0.045258,            0.016317,             0.52978,             0.27906,             0.34249,            0.095237,            0.067121,            0.029336,            0.012426,            0.035959,           0.0069594,           0.0069594
                   4,            0.070475,            0.049147,            0.014231,             0.56442,             0.26441,             0.30416,             0.13273,            0.066743,            0.025341,           0.0098151,            0.019665,            0.008665,            0.008665
                   5,            0.072475,             0.04229,            0.012152,             0.60144,             0.27175,             0.25742,            0.087517,            0.069463,            0.023537,           0.0070968,             0.00967,             0.00967,             0.00967
                   6,            0.067378,            0.036887,           0.0095801,             0.57918,             0.24823,             0.24065,            0.093365,            0.060062,            0.025555,           0.0074062,             0.00967,             0.00967,             0.00967
                   7,            0.066076,            0.042046,           0.0098552,             0.57074,             0.34328,             0.24887,            0.096511,            0.059848,            0.019918,           0.0093695,            0.009604,            0.009604,            0.009604
                   8,            0.060554,            0.034905,             0.01014,              0.6135,             0.38331,             0.31681,             0.12353,            0.057914,            0.019295,           0.0080505,            0.009538,            0.009538,            0.009538
                   9,            0.061189,             0.03461,           0.0086983,             0.67837,             0.39197,             0.37544,             0.16754,            0.051032,            0.019129,           0.0066301,            0.009472,            0.009472,            0.009472
                  10,            0.053935,            0.038279,           0.0090918,             0.66598,             0.42262,             0.40333,             0.17219,            0.050547,            0.019012,           0.0074056,            0.009406,            0.009406,            0.009406
                  11,            0.055377,            0.037523,           0.0086085,             0.67764,             0.43569,             0.37945,             0.16726,            0.052087,             0.02038,           0.0063533,             0.00934,             0.00934,             0.00934
                  12,            0.053657,            0.036568,           0.0080719,             0.68259,             0.39429,             0.39741,             0.18857,            0.047667,            0.019609,           0.0054515,            0.009274,            0.009274,            0.009274
                  13,            0.051156,            0.036811,            0.007517,             0.77243,             0.41172,             0.44491,             0.21132,            0.045609,            0.018988,            0.005804,            0.009208,            0.009208,            0.009208
                  14,            0.048235,            0.031962,           0.0068844,             0.73366,             0.43442,             0.42652,             0.20384,            0.045405,            0.018706,            0.006373,            0.009142,            0.009142,            0.009142
                  15,            0.051312,            0.035057,           0.0065564,             0.67239,             0.46519,              0.4354,             0.21659,            0.045476,            0.019442,           0.0062178,            0.009076,            0.009076,            0.009076
                  16,            0.048415,            0.036987,           0.0067538,             0.80651,             0.38416,             0.44113,             0.21839,            0.045469,            0.018729,           0.0071412,             0.00901,             0.00901,             0.00901
                  17,            0.047344,            0.031823,           0.0067483,             0.79454,              0.4104,             0.46599,             0.25924,            0.042944,            0.018542,           0.0074673,            0.008944,            0.008944,            0.008944
                  18,               0.047,            0.033679,           0.0060386,             0.78908,             0.45906,             0.47918,             0.25599,            0.043362,            0.018461,           0.0093874,            0.008878,            0.008878,            0.008878
                  19,             0.04623,            0.031511,           0.0058679,             0.74877,             0.42613,             0.45892,             0.24933,            0.041935,            0.019346,           0.0097948,            0.008812,            0.008812,            0.008812
                  20,             0.04412,            0.030761,           0.0059821,             0.73345,             0.45284,             0.45166,             0.24972,            0.043056,            0.019142,           0.0080762,            0.008746,            0.008746,            0.008746
                  21,            0.042267,            0.031569,           0.0051115,             0.74374,             0.46718,             0.46978,             0.23831,            0.042361,            0.019307,           0.0077171,             0.00868,             0.00868,             0.00868
                  22,            0.044566,            0.029588,           0.0062902,             0.74332,             0.45109,             0.44254,             0.24081,            0.046809,            0.019001,            0.011211,            0.008614,            0.008614,            0.008614
                  23,            0.043863,            0.035212,           0.0057674,             0.84979,              0.3619,              0.4535,             0.25636,            0.039888,            0.020517,           0.0055603,            0.008548,            0.008548,            0.008548
                  24,             0.04179,            0.033912,           0.0058576,             0.80214,              0.4254,             0.48821,             0.29055,            0.041096,            0.018466,           0.0056473,            0.008482,            0.008482,            0.008482
                  25,            0.042854,            0.043731,            0.005077,             0.82574,             0.46199,              0.5223,             0.29588,            0.040344,            0.017681,            0.004871,            0.008416,            0.008416,            0.008416
                  26,            0.044163,            0.039788,           0.0052832,             0.79884,             0.45993,             0.47862,             0.26211,            0.044283,            0.017941,           0.0057324,             0.00835,             0.00835,             0.00835
                  27,            0.040878,            0.031449,           0.0052076,             0.80544,             0.44659,             0.50613,             0.27995,            0.042097,             0.01869,           0.0064532,            0.008284,            0.008284,            0.008284
                  28,            0.043061,            0.032341,           0.0057716,             0.78421,             0.43846,             0.47491,             0.27885,            0.042334,            0.018842,           0.0084706,            0.008218,            0.008218,            0.008218
                  29,            0.039326,            0.027829,           0.0050709,             0.82111,             0.37991,              0.4609,              0.2693,            0.040873,            0.020831,           0.0072074,            0.008152,            0.008152,            0.008152
                  30,            0.041542,            0.030785,           0.0056944,             0.81922,             0.40306,             0.49338,             0.28478,              0.0399,            0.018856,           0.0081446,            0.008086,            0.008086,            0.008086
                  31,            0.037989,            0.031647,            0.005289,             0.80512,             0.45993,             0.55425,             0.32756,            0.038927,             0.01915,           0.0054045,             0.00802,             0.00802,             0.00802
                  32,             0.04083,            0.031016,           0.0053609,             0.80575,             0.46853,               0.674,             0.41919,            0.040378,             0.01818,           0.0068247,            0.007954,            0.007954,            0.007954
                  33,            0.039847,            0.028678,           0.0048804,             0.79738,             0.50776,             0.59589,             0.35635,            0.038897,            0.018088,           0.0048793,            0.007888,            0.007888,            0.007888
                  34,             0.03978,            0.028801,           0.0084559,             0.80462,             0.48253,             0.59541,             0.37915,             0.03833,             0.01757,           0.0048216,            0.007822,            0.007822,            0.007822
                  35,            0.040042,            0.030933,           0.0067441,              0.7699,             0.48174,             0.50686,             0.29861,            0.037254,             0.01781,           0.0053357,            0.007756,            0.007756,            0.007756
                  36,            0.037637,            0.039041,           0.0049412,             0.82228,             0.43496,             0.49524,             0.29388,            0.039454,            0.018811,           0.0062124,             0.00769,             0.00769,             0.00769
                  37,            0.039643,            0.030429,           0.0045913,             0.47785,             0.75945,             0.66683,              0.4461,            0.040559,            0.017999,           0.0055319,            0.007624,            0.007624,            0.007624
                  38,            0.040029,             0.02949,           0.0044073,             0.50098,             0.88771,             0.70038,             0.44761,            0.037881,            0.017235,           0.0050556,            0.007558,            0.007558,            0.007558
                  39,            0.037743,            0.029797,           0.0041021,             0.88055,             0.46361,             0.63296,             0.39961,            0.038832,            0.017723,           0.0060827,            0.007492,            0.007492,            0.007492
                  40,            0.039561,            0.028424,           0.0040583,             0.86235,             0.46097,             0.52493,             0.31386,            0.038925,            0.018421,           0.0064615,            0.007426,            0.007426,            0.007426
                  41,            0.038046,            0.027759,           0.0055329,             0.83408,             0.46164,             0.52713,             0.31745,            0.038472,            0.018101,           0.0042602,             0.00736,             0.00736,             0.00736
                  42,            0.036528,            0.028765,           0.0037761,             0.81554,             0.49397,             0.53139,             0.31665,            0.037986,            0.017904,           0.0033997,            0.007294,            0.007294,            0.007294
                  43,            0.038414,            0.031476,           0.0042003,             0.83985,             0.47356,             0.53493,             0.33511,            0.037371,            0.017864,           0.0053864,            0.007228,            0.007228,            0.007228
                  44,             0.03842,            0.029177,           0.0053262,             0.84563,             0.46154,             0.52859,             0.33169,            0.035838,            0.018277,           0.0045234,            0.007162,            0.007162,            0.007162
                  45,            0.037214,            0.028518,              0.0035,             0.81307,             0.52266,             0.52621,             0.33262,            0.036324,            0.017739,           0.0044914,            0.007096,            0.007096,            0.007096
