               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039756,            0.030143,            0.005624,             0.82913,             0.44979,             0.51145,             0.30646,            0.038224,            0.017894,           0.0047274,            0.006535,            0.006535,            0.006535
                  37,            0.040312,            0.032423,           0.0050718,               0.851,             0.47012,             0.53384,             0.31582,            0.037376,             0.01756,            0.004365,            0.006436,            0.006436,            0.006436
                  38,            0.036715,            0.031093,             0.00498,             0.85022,             0.45414,             0.53874,             0.33573,            0.036882,            0.017751,           0.0042173,            0.006337,            0.006337,            0.006337
                  39,            0.039103,            0.034169,           0.0050616,             0.77454,             0.51675,              0.5957,             0.38321,            0.036961,            0.017728,           0.0040839,            0.006238,            0.006238,            0.006238
                  40,            0.037488,            0.031251,           0.0053676,             0.77028,             0.50982,              0.5653,             0.35308,            0.036962,            0.017545,           0.0041425,            0.006139,            0.006139,            0.006139
                  41,            0.039103,            0.030614,           0.0050609,              0.8582,             0.47301,             0.57861,             0.36821,            0.035958,            0.017702,           0.0044833,             0.00604,             0.00604,             0.00604
                  42,            0.036929,            0.028313,           0.0053575,             0.83529,             0.45937,             0.55222,              0.3424,            0.036681,            0.017663,           0.0048813,            0.005941,            0.005941,            0.005941
                  43,            0.036104,            0.029478,           0.0051808,             0.88003,             0.43811,             0.52612,              0.3259,            0.036344,             0.01781,           0.0047613,            0.005842,            0.005842,            0.005842
                  44,            0.036759,            0.028383,           0.0055183,             0.81111,             0.48944,             0.53936,             0.34546,             0.03554,            0.017422,           0.0039799,            0.005743,            0.005743,            0.005743
                  45,            0.037268,            0.029702,           0.0046209,             0.76454,             0.53346,             0.53319,             0.33603,            0.035858,            0.017261,           0.0037404,            0.005644,            0.005644,            0.005644
                  46,            0.037576,            0.033946,           0.0047176,             0.80766,             0.49683,             0.53164,             0.34089,            0.035307,            0.017049,           0.0041845,            0.005545,            0.005545,            0.005545
                  47,            0.035601,            0.029236,           0.0047164,             0.83489,             0.47521,             0.53099,             0.33861,             0.03589,            0.017312,           0.0049697,            0.005446,            0.005446,            0.005446
                  48,            0.036883,            0.029271,            0.004402,             0.82244,             0.47927,             0.58509,              0.3734,             0.03651,            0.017262,           0.0045163,            0.005347,            0.005347,            0.005347
                  49,            0.036559,            0.030897,           0.0045468,             0.81126,              0.5066,             0.52955,             0.33884,            0.036505,            0.016749,           0.0051058,            0.005248,            0.005248,            0.005248
                  50,            0.034314,            0.028581,            0.005217,             0.80874,             0.51151,             0.53534,             0.33138,            0.036824,            0.016582,           0.0044613,            0.005149,            0.005149,            0.005149
                  51,            0.034977,            0.031632,           0.0051369,             0.85946,             0.47868,             0.54981,             0.35595,             0.03611,            0.016808,            0.006627,             0.00505,             0.00505,             0.00505
                  52,            0.036952,            0.029447,            0.006011,             0.42031,              0.7888,             0.64909,             0.44407,            0.035349,            0.016594,           0.0055797,            0.004951,            0.004951,            0.004951
                  53,            0.034097,            0.028856,           0.0047041,             0.81648,             0.51132,             0.62341,             0.41103,            0.035781,            0.016632,           0.0042779,            0.004852,            0.004852,            0.004852
                  54,            0.034688,            0.030448,           0.0037343,             0.81508,             0.52387,             0.57856,             0.37167,            0.036014,            0.016613,           0.0040166,            0.004753,            0.004753,            0.004753
                  55,            0.036049,            0.029176,           0.0035864,             0.43625,             0.79208,             0.65324,             0.43015,            0.036665,            0.016621,           0.0039713,            0.004654,            0.004654,            0.004654
                  56,            0.033696,            0.027541,           0.0042155,             0.52776,             0.88503,             0.70777,             0.45982,            0.035565,            0.016625,           0.0040774,            0.004555,            0.004555,            0.004555
                  57,            0.034041,            0.028885,           0.0040653,             0.49481,             0.88931,             0.65089,             0.41719,             0.03552,            0.017033,           0.0042962,            0.004456,            0.004456,            0.004456
                  58,            0.034598,            0.029825,           0.0044172,             0.86947,             0.47521,              0.6342,             0.42627,            0.034732,            0.017212,           0.0042557,            0.004357,            0.004357,            0.004357
                  59,            0.033287,             0.02819,           0.0041295,             0.86379,             0.49189,             0.56804,             0.37382,            0.034087,            0.017098,           0.0038102,            0.004258,            0.004258,            0.004258
                  60,            0.034013,            0.025505,            0.004073,             0.80507,             0.52019,             0.57633,             0.39139,            0.033739,            0.016594,           0.0038611,            0.004159,            0.004159,            0.004159
                  61,            0.033085,            0.027067,           0.0036012,             0.41442,             0.84538,             0.65029,             0.42962,            0.034642,            0.016527,           0.0041792,             0.00406,             0.00406,             0.00406
                  62,            0.032888,             0.02847,           0.0038203,             0.43021,             0.90185,             0.64684,             0.41912,            0.034816,            0.016931,           0.0044655,            0.003961,            0.003961,            0.003961
                  63,            0.033033,            0.026986,           0.0038325,             0.48042,             0.88902,             0.65174,             0.43771,            0.034304,            0.016963,           0.0046023,            0.003862,            0.003862,            0.003862
                  64,            0.032262,            0.027479,           0.0037978,              0.5925,             0.86258,             0.71493,             0.50544,            0.033585,            0.016566,            0.004381,            0.003763,            0.003763,            0.003763
                  65,            0.032795,            0.025216,           0.0049313,             0.57977,             0.85754,             0.70778,             0.50906,            0.034089,            0.016513,           0.0049075,            0.003664,            0.003664,            0.003664
                  66,            0.033607,            0.024696,           0.0033827,             0.51027,             0.87667,             0.64763,              0.4234,            0.033689,            0.016854,           0.0045822,            0.003565,            0.003565,            0.003565
                  67,             0.03179,            0.028176,            0.004106,             0.48351,             0.88625,             0.64598,             0.40887,            0.033721,            0.016926,           0.0045053,            0.003466,            0.003466,            0.003466
                  68,            0.032321,            0.027026,           0.0034212,             0.45431,             0.80839,             0.65546,             0.41375,            0.033959,            0.016786,           0.0046261,            0.003367,            0.003367,            0.003367
                  69,            0.030838,            0.026461,           0.0033935,             0.41353,             0.82002,              0.6475,             0.40572,            0.033922,            0.016784,           0.0045048,            0.003268,            0.003268,            0.003268
                  70,            0.032525,            0.026261,           0.0037019,             0.85873,             0.49023,             0.60325,             0.37689,            0.034189,            0.016729,           0.0042905,            0.003169,            0.003169,            0.003169
                  71,            0.032623,            0.025555,           0.0029033,             0.85106,             0.49264,             0.60359,             0.39463,            0.033412,            0.016499,           0.0038379,             0.00307,             0.00307,             0.00307
                  72,            0.029196,            0.024965,           0.0035254,             0.83243,             0.52562,             0.62816,             0.40048,            0.033705,            0.016473,           0.0036465,            0.002971,            0.002971,            0.002971
                  73,            0.031633,            0.024622,           0.0033173,             0.50433,             0.53462,             0.64525,             0.41574,            0.033463,            0.016396,            0.003953,            0.002872,            0.002872,            0.002872
                  74,            0.032249,             0.02762,            0.003158,             0.54055,              0.4913,             0.63122,             0.41271,            0.033769,            0.016664,           0.0051425,            0.002773,            0.002773,            0.002773
                  75,            0.030941,            0.026485,           0.0031412,              0.5218,             0.89017,             0.66199,              0.4257,            0.033618,            0.016676,           0.0051454,            0.002674,            0.002674,            0.002674
                  76,            0.031251,            0.027178,           0.0041908,             0.47593,             0.89439,             0.64705,             0.41736,             0.03379,            0.016754,           0.0044331,            0.002575,            0.002575,            0.002575
                  77,            0.030051,            0.024335,           0.0036162,             0.45971,             0.78319,             0.65285,             0.42803,            0.033424,            0.016946,            0.004627,            0.002476,            0.002476,            0.002476
                  78,            0.030819,            0.025307,           0.0028728,             0.45868,             0.79082,             0.65842,             0.41881,            0.033045,            0.017033,           0.0047079,            0.002377,            0.002377,            0.002377
                  79,            0.030331,            0.026646,            0.004075,             0.53674,             0.49869,              0.6307,             0.40995,            0.032459,            0.016741,           0.0047454,            0.002278,            0.002278,            0.002278
                  80,            0.030561,            0.024907,           0.0034547,             0.50275,             0.85203,             0.65978,             0.43094,            0.032707,            0.016637,           0.0049838,            0.002179,            0.002179,            0.002179
                  81,            0.028705,            0.024482,           0.0035109,             0.57748,             0.85589,             0.65352,             0.43403,            0.033223,            0.016907,           0.0055188,             0.00208,             0.00208,             0.00208
                  82,            0.029446,            0.026372,           0.0027743,             0.58902,             0.85604,             0.65752,             0.44371,            0.033234,            0.016677,           0.0047397,            0.001981,            0.001981,            0.001981
                  83,             0.02838,            0.024457,           0.0033464,             0.57054,             0.87396,              0.6606,             0.44813,            0.033033,            0.016519,           0.0048644,            0.001882,            0.001882,            0.001882
                  84,            0.028982,             0.02376,           0.0035447,             0.58249,             0.86795,             0.65966,             0.44968,            0.033168,            0.016409,           0.0047929,            0.001783,            0.001783,            0.001783
                  85,            0.029635,            0.027157,           0.0028091,              0.5652,             0.84919,             0.65761,             0.42688,            0.032891,            0.016548,           0.0046546,            0.001684,            0.001684,            0.001684
                  86,            0.029175,            0.020988,           0.0032526,             0.54461,             0.49454,             0.63154,             0.41844,             0.03274,            0.016476,           0.0043786,            0.001585,            0.001585,            0.001585
                  87,            0.029244,            0.023937,           0.0030314,             0.56042,             0.48984,             0.61079,             0.40256,             0.03278,            0.016762,           0.0045884,            0.001486,            0.001486,            0.001486
